,end_lat,end_long,route,start_lat,start_long
201,41.6719654,-86.2458959,0,41.672567,-86.2461526
202,41.671026,-86.2446058,0,41.6719654,-86.2458959
203,41.6705259,-86.242423,0,41.671026,-86.2446058
204,41.6576999,-86.2161276,0,41.6705259,-86.242423
205,41.6631382,-86.0706535,0,41.6576999,-86.2161276
206,41.6622752,-86.0706848,0,41.6631382,-86.0706535
207,41.6626643,-86.0611164,0,41.6622752,-86.0706848
208,41.6484559,-85.9570859,0,41.6626643,-86.0611164
209,41.6384584,-85.9301795,0,41.6484559,-85.9570859
210,41.6376934,-85.9239204,0,41.6384584,-85.9301795
211,41.6267282,-85.9066872,0,41.6376934,-85.9239204
212,41.6273285,-85.9059057,0,41.6267282,-85.9066872
213,41.6096083,-85.8761132,0,41.6273285,-85.9059057
214,41.5972101,-85.8483639,0,41.6096083,-85.8761132
215,41.5971583,-85.8483637,0,41.5972101,-85.8483639
216,41.5917989,-85.8346228,0,41.5971583,-85.8483637
217,41.5870384,-85.8264759,0,41.5917989,-85.8346228
218,41.586526,-85.8212415,0,41.5870384,-85.8264759
219,41.5807111,-85.8121377,0,41.586526,-85.8212415
220,41.5807413,-85.8043346,0,41.5807111,-85.8121377
221,41.581515,-85.6559029,0,41.5807413,-85.8043346
222,41.5863609,-85.610489,0,41.581515,-85.6559029
223,41.586099,-85.60965,0,41.5863609,-85.610489
224,41.5820747,-85.6036483,0,41.586099,-85.60965
225,41.5829598,-85.5402683,0,41.5820747,-85.6036483
226,41.5827837,-85.5402599,0,41.5829598,-85.5402683
227,41.5833684,-85.4817363,0,41.5827837,-85.5402599
228,41.5761022,-85.4816751,0,41.5833684,-85.4817363
229,41.5763878,-85.4239416,0,41.5761022,-85.4816751
230,41.5741229,-85.3279506,0,41.5763878,-85.4239416
231,41.5845426,-85.3090879,0,41.5741229,-85.3279506
232,41.5852504,-85.3090773,0,41.5845426,-85.3090879
233,41.5812361,-85.2255606,0,41.5852504,-85.3090773
234,41.5811872,-85.199204,0,41.5812361,-85.2255606
235,41.579948,-85.1992205,0,41.5811872,-85.199204
236,41.5799092,-85.1944515,0,41.579948,-85.1992205
237,41.5739276,-85.1942259,0,41.5799092,-85.1944515
238,41.5739401,-85.1792165,0,41.5739276,-85.1942259
239,41.5753746,-85.0161408,0,41.5739401,-85.1792165
240,41.5733863,-85.0066005,0,41.5753746,-85.0161408
241,41.5704311,-84.9979956,0,41.5733863,-85.0066005
242,41.5735841,-84.8270152,0,41.5704311,-84.9979956
243,41.5690989,-84.8268517,0,41.5735841,-84.8270152
244,41.570758,-84.8051837,0,41.5690989,-84.8268517
245,41.5718393,-84.632391,0,41.570758,-84.8051837
246,41.5714222,-84.632052,0,41.5718393,-84.632391
247,41.5718915,-84.6203091,0,41.5714222,-84.632052
248,41.5720072,-84.5939402,0,41.5718915,-84.6203091
249,41.5719825,-84.4475962,0,41.5720072,-84.5939402
250,41.5719702,-84.3809361,0,41.5719825,-84.4475962
251,41.572336,-84.3158562,0,41.5719702,-84.3809361
252,41.5723629,-84.2826747,0,41.572336,-84.3158562
253,41.5552092,-84.1521894,0,41.5723629,-84.2826747
254,41.5552522,-84.1443229,0,41.5552092,-84.1521894
255,41.5564405,-83.8309042,0,41.5552522,-84.1443229
256,41.5566782,-83.7372616,0,41.5564405,-83.8309042
257,41.5587729,-83.7357239,0,41.5566782,-83.7372616
258,41.5587898,-83.7029205,0,41.5587729,-83.7357239
259,41.55796,-83.6743599,0,41.5587898,-83.7029205
260,41.5587189,-83.672681,0,41.55796,-83.6743599
261,41.558827,-83.6637339,0,41.5587189,-83.672681
262,41.557898,-83.6632186,0,41.558827,-83.6637339
263,41.560737,-83.6538949,0,41.557898,-83.6632186
264,41.5609877,-83.6529448,0,41.560737,-83.6538949
265,41.5563739,-83.6488032,0,41.5609877,-83.6529448
266,41.5560333,-83.6418046,0,41.5563739,-83.6488032
267,41.560423,-83.63002,0,41.5560333,-83.6418046
268,41.557113,-83.627833,0,41.560423,-83.63002
269,41.5586829,-83.6235984,0,41.557113,-83.627833
270,41.5581138,-83.6229531,0,41.5586829,-83.6235984
271,41.5539086,-83.6125414,0,41.5581138,-83.6229531
272,41.5506842,-83.6042488,0,41.5539086,-83.6125414
273,41.5287866,-83.5518517,0,41.5506842,-83.6042488
274,41.4933777,-83.4678698,0,41.5287866,-83.5518517
275,41.4462985,-83.3528811,0,41.4933777,-83.4678698
276,41.369444,-83.1666272,0,41.4462985,-83.3528811
277,41.3509848,-83.1224638,0,41.369444,-83.1666272
278,41.3383951,-83.0800253,0,41.3509848,-83.1224638
279,41.332634,-83.0588246,0,41.3383951,-83.0800253
280,41.3084419,-82.9695021,0,41.332634,-83.0588246
281,41.2674431,-82.8130758,0,41.3084419,-82.9695021
282,41.2669243,-82.8130394,0,41.2674431,-82.8130758
283,41.2391185,-82.693762,0,41.2669243,-82.8130394
284,41.2394447,-82.6937742,0,41.2391185,-82.693762
285,41.2439162,-82.6217904,0,41.2394447,-82.6937742
286,41.243901,-82.6217745,0,41.2439162,-82.6217904
287,41.2440027,-82.620627,0,41.243901,-82.6217745
288,41.2445491,-82.6173653,0,41.2440027,-82.620627
289,41.2442895,-82.6171466,0,41.2445491,-82.6173653
290,41.2447729,-82.6149457,0,41.2442895,-82.6171466
291,41.2432583,-82.6136499,0,41.2447729,-82.6149457
292,41.2477653,-82.6041244,0,41.2432583,-82.6136499
293,41.2496423,-82.5755843,0,41.2477653,-82.6041244
294,41.2475241,-82.4102776,0,41.2496423,-82.5755843
295,41.2368427,-82.2184854,0,41.2475241,-82.4102776
296,41.2373119,-82.120049,0,41.2368427,-82.2184854
297,41.2368404,-82.0230612,0,41.2373119,-82.120049
298,41.2376681,-82.0230315,0,41.2368404,-82.0230612
299,41.237592,-81.9238749,0,41.2376681,-82.0230315
300,41.2379202,-81.8720418,0,41.237592,-81.9238749
301,41.2397834,-81.6392751,0,41.2379202,-81.8720418
302,41.2328574,-81.4847679,0,41.2397834,-81.6392751
303,41.2397179,-81.3721206,0,41.2328574,-81.4847679
304,41.239485,-81.3566211,0,41.2397179,-81.3721206
305,41.2397971,-81.3493381,0,41.239485,-81.3566211
